[2025-04-30 17:08:05,607: INFO: main: Welcome to info]
[2025-04-30 17:08:17,336: INFO: main: Welcome to info]
[2025-04-30 17:09:08,305: INFO: main: Welcome to info]
[2025-04-30 17:16:14,917: INFO: main: Welcome to info]
[2025-04-30 17:16:42,529: INFO: main: Welcome to info]
[2025-05-05 17:19:02,484: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:19:02,491: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-05 17:19:02,494: INFO: common: created directory at: artifacts]
[2025-05-05 17:19:02,495: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-05 17:19:02,498: INFO: 986331348: Downloading data from https://drive.google.com/drive/folders/1Os2_hUGKSt97F1KoS5M0ddtsFY1SIao4?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:19:25,192: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:19:25,194: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-05 17:19:25,196: INFO: common: created directory at: artifacts]
[2025-05-05 17:19:25,198: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-05 17:19:25,199: INFO: 986331348: Downloading data from https://drive.google.com/drive/folders/1Os2_hUGKSt97F1KoS5M0ddtsFY1SIao4?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:20:04,225: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:20:04,227: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-05 17:20:04,228: INFO: common: created directory at: artifacts]
[2025-05-05 17:20:04,230: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-05 17:20:04,232: INFO: 986331348: Downloading data from https://drive.google.com/drive/folders/1Os2_hUGKSt97F1KoS5M0ddtsFY1SIao4?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:21:37,007: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:21:37,009: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-05 17:21:37,011: INFO: common: created directory at: artifacts]
[2025-05-05 17:21:37,012: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-05 17:21:37,014: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:21:57,615: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:53:54,866: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-05 17:53:54,869: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:53:54,871: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-05 17:53:54,872: INFO: common: created directory at: artifacts]
[2025-05-05 17:53:54,872: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-05 17:53:54,873: INFO: Data_ingestion_01: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:54:20,185: INFO: Data_ingestion_01: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:54:21,206: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
